governance_level,governance_name,scenario,total_agents,active_agents,shadow_agents,duplicate_agents,orphaned_agents,sprawl_index,total_actions,total_completed,total_failed,total_violations,risk_incident_rate,effective_task_completion,governance_cost_ratio,time_to_value_days,delegation_safety_rate,total_delegations,safe_delegations,net_business_value,trial
1,Ad-hoc,greenfield,40,32,10,0,8,0.45,1000,752,248,59,59.0,0.693,0.02,5.0,0.549,102,56,0.6293,0
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,770,230,63,63.0,0.707,0.02,5.0,0.5591,93,52,0.637,1
1,Ad-hoc,greenfield,40,33,10,0,7,0.425,1000,775,225,57,57.0,0.718,0.02,5.0,0.54,100,54,0.6444,2
1,Ad-hoc,greenfield,40,39,10,0,1,0.275,1000,755,245,65,65.0,0.69,0.02,5.0,0.5888,107,63,0.6573,3
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,747,253,59,59.0,0.688,0.02,5.0,0.6509,106,69,0.658,4
1,Ad-hoc,greenfield,40,32,10,0,8,0.45,1000,764,236,56,56.0,0.708,0.02,5.0,0.604,101,61,0.648,5
1,Ad-hoc,greenfield,40,31,10,0,9,0.475,1000,775,225,56,56.0,0.719,0.02,5.0,0.6237,93,58,0.6492,6
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,762,238,58,58.0,0.704,0.02,5.0,0.5579,95,53,0.6459,7
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,775,225,68,68.0,0.707,0.02,5.0,0.6452,93,60,0.6399,8
1,Ad-hoc,greenfield,40,37,10,0,3,0.325,1000,769,231,68,68.0,0.701,0.02,5.0,0.5833,108,63,0.6438,9
1,Ad-hoc,greenfield,40,32,10,0,8,0.45,1000,757,243,48,48.0,0.709,0.02,5.0,0.6759,108,73,0.6751,10
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,769,231,52,52.0,0.717,0.02,5.0,0.6154,130,80,0.6754,11
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,779,221,54,54.0,0.725,0.02,5.0,0.6765,102,69,0.678,12
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,746,254,49,49.0,0.697,0.02,5.0,0.5506,89,49,0.6707,13
1,Ad-hoc,greenfield,40,38,10,0,2,0.3,1000,774,226,52,52.0,0.722,0.02,5.0,0.5481,104,57,0.6818,14
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,764,236,59,59.0,0.705,0.02,5.0,0.5918,98,58,0.6543,15
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,763,237,64,64.0,0.699,0.02,5.0,0.6667,105,70,0.6587,16
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,768,232,59,59.0,0.709,0.02,5.0,0.6395,86,55,0.6676,17
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,749,251,59,59.0,0.69,0.02,5.0,0.5983,117,70,0.6457,18
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,762,238,54,54.0,0.708,0.02,5.0,0.625,88,55,0.6702,19
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,748,252,63,63.0,0.685,0.02,5.0,0.6869,99,68,0.6595,20
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,769,231,59,59.0,0.71,0.02,5.0,0.5619,105,59,0.6563,21
1,Ad-hoc,greenfield,40,32,10,0,8,0.45,1000,770,230,55,55.0,0.715,0.02,5.0,0.6,95,57,0.6515,22
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,785,215,70,70.0,0.715,0.02,5.0,0.5823,79,46,0.6338,23
1,Ad-hoc,greenfield,40,32,10,0,8,0.45,1000,782,218,54,54.0,0.728,0.02,5.0,0.5542,83,46,0.6505,24
1,Ad-hoc,greenfield,40,36,10,0,4,0.35,1000,751,249,58,58.0,0.693,0.02,5.0,0.5196,102,53,0.6468,25
1,Ad-hoc,greenfield,40,35,10,0,5,0.375,1000,765,235,49,49.0,0.716,0.02,5.0,0.6545,110,72,0.687,26
1,Ad-hoc,greenfield,40,34,10,0,6,0.4,1000,738,262,63,63.0,0.675,0.02,5.0,0.5851,94,55,0.6313,27
1,Ad-hoc,greenfield,40,30,10,0,10,0.5,1000,768,232,73,73.0,0.695,0.02,5.0,0.6495,97,63,0.6069,28
